Total number of strongly connected components: 3
Vertex 1 is in strongly connected component 0
Vertex 2 is in strongly connected component 0
Vertex 3 is in strongly connected component 0
Vertex 4 is in strongly connected component 0
Vertex 5 is in strongly connected component 0
Vertex 6 is in strongly connected component 0
Vertex 7 is in strongly connected component 0
Vertex 8 is in strongly connected component 0
Vertex 9 is in strongly connected component 0
Vertex 10 is in strongly connected component 0
Vertex 11 is in strongly connected component 0
Vertex 12 is in strongly connected component 0
Vertex 13 is in strongly connected component 0
Vertex 14 is in strongly connected component 1
Vertex 15 is in strongly connected component 1
Vertex 16 is in strongly connected component 2
Vertex 17 is in strongly connected component 2
